供应商ID,材料分类,总供货量,活跃度,稳定性,可靠性,充足率,TOPSIS得分,材料权重,最终得分,排名
S173,C,372.0,0.06666666666666667,0.0999000999000999,0.358974358974359,0.0,0.005159905542991949,1.0,0.005159905542991949,335
S382,C,28.0,0.0625,0.0999000999000999,0.3783783783783784,0.0,0.0051044424454320825,1.0,0.0051044424454320825,336
S345,C,87.0,0.058333333333333334,0.0999000999000999,0.3939393939393939,0.0,0.005101772045028388,1.0,0.005101772045028388,337
S168,B,31.0,0.07083333333333333,0.0999000999000999,0.2,0.0,0.004204733592656137,1.2,0.005045680311187364,338
S063,C,30.0,0.0875,0.0999000999000999,0.2077922077922078,0.0,0.005042464293277415,1.0,0.005042464293277415,339
S398,C,41.0,0.06666666666666667,0.0999000999000999,0.35,0.0,0.005025157507596016,1.0,0.005025157507596016,340
S283,A,30.0,0.058333333333333334,0.0999000999000999,0.08823529411764706,0.0,0.0031004055323499927,1.6,0.004960648851759989,341
S320,C,42.0,0.08333333333333333,0.0999000999000999,0.22580645161290322,0.0,0.004928969226415723,1.0,0.004928969226415723,342
S093,A,36.0,0.05,0.0999000999000999,0.1694915254237288,0.0,0.00307796509703651,1.6,0.004924744155258416,343
S160,C,45.0,0.08333333333333333,0.0999000999000999,0.22058823529411764,0.0,0.004902754522545311,1.0,0.004902754522545311,344
S290,C,31.0,0.07916666666666666,0.0999000999000999,0.2465753424657534,0.0,0.00484593459489844,1.0,0.00484593459489844,345
S147,B,108.0,0.03333333333333333,0.0999000999000999,0.35,0.0,0.004031107245461618,1.2,0.004837328694553941,346
S161,C,47.0,0.08333333333333333,0.0999000999000999,0.19444444444444445,0.0,0.004778399348994178,1.0,0.004778399348994178,347
